Gene.Symbol,EnsID,entrez_id,hgnc_symbol,tissue,phase,pval,fdr,rsq,rAmp,fitmean,amp,G1Acro,Peg,hgnc_name,gene_biotype,type
SEPT8,ENSG00000164402,23176,SEPT8,Artery Tibial,4.134859974,0.000573679,0.028308397,0.26504606,0.206784657,49.70403892,10.27803263,0.84386682,3.290993154,septin 8,protein_coding,protein_coding
MARCH9,ENSG00000139266,92979,MARCH9,Artery Tibial,6.222177917,0.856149024,0.949511423,0.011610701,0.049008057,8.966160149,0.439414089,0.84386682,5.378311097,membrane associated ring-CH-type finger 9,protein_coding,protein_coding
SEPT9,ENSG00000184640,10801,SEPT9,Artery Tibial,3.373007244,0.862976408,0.951945665,0.022041104,0.059120826,68.93632807,4.075572645,0.84386682,2.529140423,septin 9,protein_coding,protein_coding
A1BG,ENSG00000121410,1,A1BG,Artery Tibial,6.102897222,0.375846138,0.672728858,0.030402004,0.11119902,5.811606775,0.64624498,0.84386682,5.259030402,alpha-1-B glycoprotein,protein_coding,protein_coding
A1BG-AS1,ENSG00000268895,503538,A1BG-AS1,Artery Tibial,1.048696874,0.337880069,0.641587204,0.075792436,0.177408948,3.291535912,0.583947922,0.84386682,0.204830053,A1BG antisense RNA 1,antisense_RNA,antisense_RNA
A2M,ENSG00000175899,2,A2M,Artery Tibial,0.409194788,0.897321877,0.964926557,0.037045497,0.119311673,1257.871808,150.0787894,0.84386682,5.848513275,alpha-2-macroglobulin,protein_coding,protein_coding
A2M-AS1,ENSG00000245105,144571,A2M-AS1,Artery Tibial,3.567422684,0.00046604,0.025431701,0.23811823,0.318689488,9.031259332,2.878167417,0.84386682,2.723555864,A2M antisense RNA 1 (head to head),antisense_RNA,antisense_RNA
A4GALT,ENSG00000128274,53947,A4GALT,Artery Tibial,5.844913082,0.087113226,0.330130166,0.15769838,0.207891375,53.61467426,11.14602837,0.84386682,5.001046262,"alpha 1,4-galactosyltransferase (P blood group)",protein_coding,protein_coding
AAAS,ENSG00000094914,8086,AAAS,Artery Tibial,3.307221569,0.2682998,0.574134607,0.076694651,0.115433004,61.93303112,7.149115845,0.84386682,2.463354749,aladin WD repeat nucleoporin,protein_coding,protein_coding
AACS,ENSG00000081760,65985,AACS,Artery Tibial,5.519585362,0.926215014,0.975298678,0.026042434,0.055563616,2.899521522,0.161107899,0.84386682,4.675718542,acetoacetyl-CoA synthetase,protein_coding,protein_coding
AADAT,ENSG00000109576,51166,AADAT,Artery Tibial,3.438498639,0.005580709,0.083560015,0.195986317,0.230615653,11.19639169,2.582063179,0.84386682,2.594631819,aminoadipate aminotransferase,protein_coding,protein_coding
AAED1,ENSG00000158122,195827,AAED1,Artery Tibial,0.5487959,0.046797372,0.245454165,0.108159423,0.127781758,15.4231663,1.970799303,0.84386682,5.988114387,AhpC/TSA antioxidant enzyme domain containing 1,protein_coding,protein_coding
AAGAB,ENSG00000103591,79719,AAGAB,Artery Tibial,0.315190274,0.37403068,0.671653638,0.099285957,0.143519762,15.90929193,2.283297793,0.84386682,5.754508761,alpha- and gamma-adaptin binding protein,protein_coding,protein_coding
AAK1,ENSG00000115977,22848,AAK1,Artery Tibial,2.718670683,0.574909198,0.813111271,0.012324047,0.051924892,1.754361765,0.091095045,0.84386682,1.874803863,AP2 associated kinase 1,protein_coding,protein_coding
AAMDC,ENSG00000087884,28971,AAMDC,Artery Tibial,3.059640037,0.894158546,0.963666381,0.02112111,0.058319922,19.02379953,1.109466495,0.84386682,2.215773217,adipogenesis associated Mth938 domain containing,protein_coding,protein_coding
AAMP,ENSG00000127837,14,AAMP,Artery Tibial,0.910272265,0.487067883,0.756837094,0.041241568,0.060541002,106.4183002,6.442670511,0.84386682,0.066405445,angio associated migratory cell protein,protein_coding,protein_coding
AAR2,ENSG00000131043,25980,AAR2,Artery Tibial,1.392423343,0.018129919,0.152578586,0.152770983,0.132384644,44.22541656,5.854766013,0.84386682,0.548556523,AAR2 splicing factor homolog,protein_coding,protein_coding
AARS,ENSG00000090861,16,AARS,Artery Tibial,0.296834258,0.823226683,0.936930919,0.02438127,0.058759031,95.45074781,5.608593447,0.84386682,5.736152745,alanyl-tRNA synthetase,protein_coding,protein_coding
AARS2,ENSG00000124608,57505,AARS2,Artery Tibial,4.922010676,0.434636455,0.717097387,0.009373894,0.052265641,6.337760289,0.331247103,0.84386682,4.078143856,"alanyl-tRNA synthetase 2, mitochondrial",protein_coding,protein_coding
AARSD1,ENSG00000266967,80755,AARSD1,Artery Tibial,4.77129703,0.63622302,0.845382504,0.052927268,0.060853213,53.07021896,3.229493324,0.84386682,3.92743021,alanyl-tRNA synthetase domain containing 1,protein_coding,protein_coding
AASDH,ENSG00000157426,132949,AASDH,Artery Tibial,2.696517,0.006764547,0.093611597,0.112054908,0.120270215,7.333243885,0.881970817,0.84386682,1.85265018,aminoadipate-semialdehyde dehydrogenase,protein_coding,protein_coding
AASDHPPT,ENSG00000149313,60496,AASDHPPT,Artery Tibial,2.257594867,0.101926544,0.356410277,0.111200128,0.114162269,22.06201864,2.518650108,0.84386682,1.413728046,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,protein_coding,protein_coding
AASS,ENSG00000008311,10157,AASS,Artery Tibial,1.527803997,0.008988247,0.107779926,0.16929677,0.504297404,46.31063588,23.35433343,0.84386682,0.683937177,aminoadipate-semialdehyde synthase,protein_coding,protein_coding
AATF,ENSG00000108270,NA,NA,Artery Tibial,1.1034571,0.166572587,0.452279135,0.091730928,0.130129843,59.21478597,7.705610777,0.84386682,0.25959028,NA,NA,NoEntrez
AATK,ENSG00000181409,9625,AATK,Artery Tibial,3.819606307,0.702713722,0.880286095,0.002155081,0.087928213,2.73009012,0.240051945,0.84386682,2.975739487,apoptosis associated tyrosine kinase,protein_coding,protein_coding
AB019441.29,ENSG00000225200,NA,NA,Artery Tibial,0.804358609,0.588449985,0.821071363,0.029412345,0.189892101,2.288360718,0.434541625,0.84386682,6.243677096,NA,NA,NoEntrez
ABAT,ENSG00000183044,18,ABAT,Artery Tibial,1.397901639,2.68459E-05,0.005077928,0.343316785,0.696050643,5.951253313,4.142373697,0.84386682,0.554034819,4-aminobutyrate aminotransferase,protein_coding,protein_coding
ABC7-42389800N19.1,ENSG00000226210,100288778,LOC100288778,Artery Tibial,2.492910572,0.59460486,0.824267417,0.019822937,0.087579868,30.3256249,2.655914238,0.84386682,1.649043752,WAS protein family homolog 1 pseudogene,unprocessed_pseudogene,other
ABCA1,ENSG00000165029,19,ABCA1,Artery Tibial,1.161456028,0.619470098,0.836613853,0.051689124,0.331550091,11.91192238,3.949398951,0.84386682,0.317589207,ATP binding cassette subfamily A member 1,protein_coding,protein_coding
ABCA10,ENSG00000154263,10349,ABCA10,Artery Tibial,3.121635294,0.365781336,0.665827669,0.078586079,0.321494092,6.500201853,2.089776493,0.84386682,2.277768474,ATP binding cassette subfamily A member 10,protein_coding,protein_coding
ABCA11P,ENSG00000251595,79963,ABCA11P,Artery Tibial,3.040249359,0.25974271,0.564123411,0.080670695,0.180345974,3.456972173,0.623451015,0.84386682,2.196382538,"ATP binding cassette subfamily A member 11, pseudogene",transcribed_processed_pseudogene,other
ABCA2,ENSG00000107331,20,ABCA2,Artery Tibial,3.993402621,0.174216134,0.461581708,0.16087829,0.228234173,17.8647351,4.077343038,0.84386682,3.149535801,ATP binding cassette subfamily A member 2,protein_coding,protein_coding
ABCA3,ENSG00000167972,21,ABCA3,Artery Tibial,2.899473279,0.384929997,0.680843567,0.052529303,0.094226581,15.29423605,1.44112357,0.84386682,2.055606459,ATP binding cassette subfamily A member 3,protein_coding,protein_coding
ABCA5,ENSG00000154265,23461,ABCA5,Artery Tibial,1.683195399,0.022412181,0.17120376,0.123479031,0.312633425,10.69118801,3.342422728,0.84386682,0.839328578,ATP binding cassette subfamily A member 5,protein_coding,protein_coding
ABCA6,ENSG00000154262,23460,ABCA6,Artery Tibial,1.613816164,0.012813288,0.129773645,0.115846399,0.479906177,13.71689443,6.582822361,0.84386682,0.769949344,ATP binding cassette subfamily A member 6,protein_coding,protein_coding
ABCA7,ENSG00000064687,10347,ABCA7,Artery Tibial,5.567128256,0.292890601,0.599652232,0.041316757,0.232144012,3.841025828,0.891671147,0.84386682,4.723261436,ATP binding cassette subfamily A member 7,protein_coding,protein_coding
ABCA8,ENSG00000141338,10351,ABCA8,Artery Tibial,3.225294265,0.556911704,0.801653901,0.018290941,0.150499527,24.48251125,3.684606365,0.84386682,2.381427445,ATP binding cassette subfamily A member 8,protein_coding,protein_coding
ABCA9,ENSG00000154258,10350,ABCA9,Artery Tibial,1.917311952,0.262336935,0.566803451,0.088148167,0.433413126,13.9375502,6.0407172,0.84386682,1.073445132,ATP binding cassette subfamily A member 9,protein_coding,protein_coding
ABCB10,ENSG00000135776,23456,ABCB10,Artery Tibial,3.332091777,0.006306893,0.089423154,0.215681145,0.170259829,21.72916545,3.699603995,0.84386682,2.488224957,ATP binding cassette subfamily B member 10,protein_coding,protein_coding
ABCB6,ENSG00000115657,10058,ABCB6,Artery Tibial,3.986838754,0.972487756,0.990765781,0.007586836,0.045447117,39.67396865,1.803067512,0.84386682,3.142971934,ATP binding cassette subfamily B member 6 (Langereis blood group),protein_coding,protein_coding
ABCB7,ENSG00000131269,22,ABCB7,Artery Tibial,2.087160344,0.080169855,0.316492956,0.092325239,0.101386857,22.64286162,2.295688564,0.84386682,1.243293524,ATP binding cassette subfamily B member 7,protein_coding,protein_coding
ABCB8,ENSG00000197150,11194,ABCB8,Artery Tibial,4.859995653,0.069617766,0.295757639,0.059215375,0.119267925,8.121552006,0.968640658,0.84386682,4.016128833,ATP binding cassette subfamily B member 8,protein_coding,protein_coding
ABCB9,ENSG00000150967,23457,ABCB9,Artery Tibial,3.736783241,0.569199601,0.81034101,0.071806073,0.113588572,2.649730065,0.300979055,0.84386682,2.89291642,ATP binding cassette subfamily B member 9,protein_coding,protein_coding
ABCC1,ENSG00000103222,4363,ABCC1,Artery Tibial,0.420831971,0.808880716,0.93059692,0.07593048,0.173902088,16.3309703,2.839989829,0.84386682,5.860150458,ATP binding cassette subfamily C member 1,protein_coding,protein_coding
ABCC10,ENSG00000124574,89845,ABCC10,Artery Tibial,3.133094008,0.567674128,0.809321383,0.001902345,0.018396552,10.39802238,0.19128776,0.84386682,2.289227188,ATP binding cassette subfamily C member 10,protein_coding,protein_coding
ABCC3,ENSG00000108846,8714,ABCC3,Artery Tibial,0.027090417,0.663599052,0.860542108,0.049879658,0.408921388,7.235342036,2.95868611,0.84386682,5.466408904,ATP binding cassette subfamily C member 3,protein_coding,protein_coding
ABCC4,ENSG00000125257,10257,ABCC4,Artery Tibial,0.383361026,0.73632266,0.896477899,0.038623764,0.158022592,2.033312826,0.321309363,0.84386682,5.822679513,ATP binding cassette subfamily C member 4,protein_coding,protein_coding
ABCC5,ENSG00000114770,10057,ABCC5,Artery Tibial,3.332192633,0.395135283,0.689550368,0.056460037,0.138832058,13.42374178,1.8636457,0.84386682,2.488325813,ATP binding cassette subfamily C member 5,protein_coding,protein_coding
ABCC9,ENSG00000069431,10060,ABCC9,Artery Tibial,1.897238734,0.634395362,0.844845679,0.04462638,0.191800371,15.34216446,2.942632834,0.84386682,1.053371914,ATP binding cassette subfamily C member 9,protein_coding,protein_coding
ABCD1,ENSG00000101986,215,ABCD1,Artery Tibial,1.631850845,0.726123042,0.89200857,0.06686569,0.109625818,14.49616067,1.589153474,0.84386682,0.787984025,ATP binding cassette subfamily D member 1,protein_coding,protein_coding
ABCD3,ENSG00000117528,5825,ABCD3,Artery Tibial,2.450046161,0.132528437,0.404645593,0.104613261,0.110454098,17.2279436,1.902896976,0.84386682,1.606179341,ATP binding cassette subfamily D member 3,protein_coding,protein_coding
ABCD4,ENSG00000119688,5826,ABCD4,Artery Tibial,3.881786069,0.996542975,0.998945266,0.015146946,0.050542513,19.92370532,1.006994132,0.84386682,3.037919249,ATP binding cassette subfamily D member 4,protein_coding,protein_coding
ABCE1,ENSG00000164163,6059,ABCE1,Artery Tibial,0.417403152,0.877934821,0.956813153,0.022421713,0.068413604,30.93684254,2.116500898,0.84386682,5.856721639,ATP binding cassette subfamily E member 1,protein_coding,protein_coding
ABCF1,ENSG00000204574,23,ABCF1,Artery Tibial,0.605255678,0.101602135,0.356022803,0.105724655,0.115656834,47.13642794,5.451650001,0.84386682,6.044574165,ATP binding cassette subfamily F member 1,protein_coding,protein_coding
ABCF2,ENSG00000033050,10061,ABCF2,Artery Tibial,0.253215917,0.036189666,0.214945598,0.171620256,0.227178097,28.87903645,6.560684545,0.84386682,5.692534404,ATP binding cassette subfamily F member 2,protein_coding,protein_coding
ABCF3,ENSG00000161204,55324,ABCF3,Artery Tibial,0.779578177,0.013893689,0.135352038,0.182419907,0.159731785,31.52913096,5.036204359,0.84386682,6.218896664,ATP binding cassette subfamily F member 3,protein_coding,protein_coding
ABCG1,ENSG00000160179,9619,ABCG1,Artery Tibial,6.132089325,0.76092379,0.908171685,0.044706245,0.353836389,5.043353841,1.784522113,0.84386682,5.288222504,ATP binding cassette subfamily G member 1,protein_coding,protein_coding
ABCG2,ENSG00000118777,9429,ABCG2,Artery Tibial,1.929375537,0.494944505,0.761816388,0.067528525,0.279830624,1.572131601,0.439930566,0.84386682,1.085508717,ATP binding cassette subfamily G member 2 (Junior blood group),protein_coding,protein_coding
ABHD10,ENSG00000144827,55347,ABHD10,Artery Tibial,2.915069882,0.211721061,0.508652728,0.093522407,0.118893348,16.96037616,2.016475906,0.84386682,2.071203062,abhydrolase domain containing 10,protein_coding,protein_coding
ABHD11,ENSG00000106077,83451,ABHD11,Artery Tibial,6.213870555,0.119962077,0.385177895,0.036648809,0.073615975,10.81121748,0.795878314,0.84386682,5.370003735,abhydrolase domain containing 11,protein_coding,protein_coding
ABHD12,ENSG00000100997,26090,ABHD12,Artery Tibial,0.775949267,0.019834884,0.160573717,0.133029405,0.149431989,30.64019745,4.578625633,0.84386682,6.215267754,abhydrolase domain containing 12,protein_coding,protein_coding
ABHD13,ENSG00000139826,84945,ABHD13,Artery Tibial,1.707792087,0.235825308,0.536083566,0.034744094,0.078597889,8.618933868,0.677430006,0.84386682,0.863925267,abhydrolase domain containing 13,protein_coding,protein_coding
ABHD14A,ENSG00000248487,25864,ABHD14A,Artery Tibial,3.879485958,0.124078322,0.39094705,0.139317963,0.259072711,19.74538612,5.115490705,0.84386682,3.035619138,abhydrolase domain containing 14A,protein_coding,protein_coding
ABHD14B,ENSG00000114779,84836,ABHD14B,Artery Tibial,2.579441975,0.099219202,0.35159877,0.105211855,0.121730477,48.89447402,5.951947645,0.84386682,1.735575155,abhydrolase domain containing 14B,protein_coding,protein_coding
ABHD15,ENSG00000168792,116236,ABHD15,Artery Tibial,1.028523804,0.000315408,0.020394092,0.144141609,0.260097063,6.275732406,1.632299564,0.84386682,0.184656984,abhydrolase domain containing 15,protein_coding,protein_coding
ABHD16A,ENSG00000204427,7920,ABHD16A,Artery Tibial,0.372527875,0.058186299,0.272171087,0.057637015,0.071455575,32.54275532,2.325361302,0.84386682,5.811846362,abhydrolase domain containing 16A,protein_coding,protein_coding
ABHD16B,ENSG00000183260,140701,ABHD16B,Artery Tibial,6.151554261,0.883344214,0.958594871,0.0412715,0.108313507,4.691147946,0.508114686,0.84386682,5.307687441,abhydrolase domain containing 16B,protein_coding,protein_coding
ABHD17A,ENSG00000129968,81926,ABHD17A,Artery Tibial,5.625816862,0.774902621,0.915130987,0.044694281,0.07381442,31.51096145,2.325963348,0.84386682,4.781950042,abhydrolase domain containing 17A,protein_coding,protein_coding
ABHD17B,ENSG00000107362,51104,ABHD17B,Artery Tibial,1.86184261,0.056178062,0.268078161,0.148604074,0.191978169,11.68548088,2.24335722,0.84386682,1.01797579,abhydrolase domain containing 17B,protein_coding,protein_coding
ABHD17C,ENSG00000136379,58489,ABHD17C,Artery Tibial,3.169762037,0.961906072,0.986636101,0.017580005,0.088931111,3.29085916,0.292659762,0.84386682,2.325895216,abhydrolase domain containing 17C,protein_coding,protein_coding
ABHD2,ENSG00000140526,11057,ABHD2,Artery Tibial,5.07370444,0.998578697,0.999419593,0.011915594,0.050037255,40.03570213,2.003276649,0.84386682,4.22983762,abhydrolase domain containing 2,protein_coding,protein_coding
ABHD3,ENSG00000158201,171586,ABHD3,Artery Tibial,1.315687294,0.001071998,0.037572529,0.203081862,0.274586668,10.6331342,2.91971689,0.84386682,0.471820474,abhydrolase domain containing 3,protein_coding,protein_coding
ABHD4,ENSG00000100439,63874,ABHD4,Artery Tibial,1.962038878,0.836030256,0.941184981,0.052967049,0.083674941,86.2835141,7.219767975,0.84386682,1.118172058,abhydrolase domain containing 4,protein_coding,protein_coding
ABHD5,ENSG00000011198,51099,ABHD5,Artery Tibial,0.627988339,0.001189676,0.03983557,0.227228614,0.395350267,7.994946517,3.160804242,0.84386682,6.067306826,abhydrolase domain containing 5,protein_coding,protein_coding
ABHD6,ENSG00000163686,57406,ABHD6,Artery Tibial,0.899602382,0.395810161,0.690131274,0.055805161,0.176667371,5.023781927,0.887538348,0.84386682,0.055735562,abhydrolase domain containing 6,protein_coding,protein_coding
ABHD8,ENSG00000127220,79575,ABHD8,Artery Tibial,0.784766774,0.437425519,0.719261231,0.05516548,0.128168498,14.57219159,1.867695912,0.84386682,6.224085261,abhydrolase domain containing 8,protein_coding,protein_coding
ABI1,ENSG00000136754,10006,ABI1,Artery Tibial,2.319019961,0.028256435,0.191711798,0.151839968,0.098168457,47.68968504,4.681622803,0.84386682,1.475153141,abl interactor 1,protein_coding,protein_coding
ABI2,ENSG00000138443,10152,ABI2,Artery Tibial,3.514265175,0.095358027,0.345106334,0.09283012,0.11570115,16.00399867,1.851681048,0.84386682,2.670398355,abl interactor 2,protein_coding,protein_coding
ABI3,ENSG00000108798,51225,ABI3,Artery Tibial,0.347823848,0.353261782,0.655121769,0.045978506,0.330227081,4.236224466,1.398916038,0.84386682,5.787142335,ABI family member 3,protein_coding,protein_coding
ABI3BP,ENSG00000154175,25890,ABI3BP,Artery Tibial,3.811695362,0.013832383,0.135090867,0.149325617,0.248133169,90.74462102,22.51675042,0.84386682,2.967828542,ABI family member 3 binding protein,protein_coding,protein_coding
ABL1,ENSG00000097007,25,ABL1,Artery Tibial,5.089742,0.93518796,0.976551636,0.010922576,0.049041808,116.6726004,5.721835213,0.84386682,4.24587518,"ABL proto-oncogene 1, non-receptor tyrosine kinase",protein_coding,protein_coding
ABL2,ENSG00000143322,27,ABL2,Artery Tibial,0.027981583,0.842098385,0.942851013,0.04661349,0.132118024,8.372636409,1.106176181,0.84386682,5.46730007,"ABL proto-oncogene 2, non-receptor tyrosine kinase",protein_coding,protein_coding
ABLIM1,ENSG00000099204,3983,ABLIM1,Artery Tibial,1.205645334,0.159881828,0.443731682,0.091526589,0.336377418,22.59241726,7.59957898,0.84386682,0.361778514,actin binding LIM protein 1,protein_coding,protein_coding
ABLIM2,ENSG00000163995,84448,ABLIM2,Artery Tibial,5.97181162,0.568804563,0.810163051,0.045106285,0.281659617,3.68115413,1.036832462,0.84386682,5.127944799,actin binding LIM protein family member 2,protein_coding,protein_coding
ABLIM3,ENSG00000173210,22885,ABLIM3,Artery Tibial,1.081782168,0.072557625,0.300590152,0.078821278,0.262056999,14.35237729,3.761140924,0.84386682,0.237915348,actin binding LIM protein family member 3,protein_coding,protein_coding
ABR,ENSG00000159842,29,ABR,Artery Tibial,3.43537984,0.139204595,0.414903264,0.112842981,0.147055479,69.43248935,10.21042797,0.84386682,2.59151302,active BCR-related,protein_coding,protein_coding
ABRA,ENSG00000174429,137735,ABRA,Artery Tibial,0.199006151,0.825880547,0.937950039,0.007820479,0.144763481,4.243991265,0.614374947,0.84386682,5.638324638,actin binding Rho activating protein,protein_coding,protein_coding
ABRACL,ENSG00000146386,58527,ABRACL,Artery Tibial,6.181420921,0.370189812,0.669018089,0.065983056,0.264985341,7.849827832,2.080089304,0.84386682,5.337554101,ABRA C-terminal like,protein_coding,protein_coding
ABT1,ENSG00000146109,29777,ABT1,Artery Tibial,1.058608264,0.438183437,0.719378312,0.047547774,0.080491842,21.27199972,1.712222439,0.84386682,0.214741444,activator of basal transcription 1,protein_coding,protein_coding
ABTB1,ENSG00000114626,80325,ABTB1,Artery Tibial,1.996235054,0.854591927,0.949202008,0.101964128,0.14917376,74.37414402,11.09467074,0.84386682,1.152368234,ankyrin repeat and BTB domain containing 1,protein_coding,protein_coding
ABTB2,ENSG00000166016,25841,ABTB2,Artery Tibial,4.499880678,0.725895926,0.891987243,0.060718331,0.14046013,11.76676893,1.652761891,0.84386682,3.656013858,ankyrin repeat and BTB domain containing 2,protein_coding,protein_coding
AC000068.9,ENSG00000273300,NA,NA,Artery Tibial,3.095127139,0.113833269,0.374177895,0.095691402,0.212208813,12.90083194,2.737670231,0.84386682,2.251260319,NA,NA,NoEntrez
AC000078.5,ENSG00000232926,NA,NA,Artery Tibial,2.047085425,0.319748238,0.623575574,0.063598391,0.271403264,2.63015307,0.713832127,0.84386682,1.203218605,NA,NA,NoEntrez
AC000123.4,ENSG00000224138,NA,NA,Artery Tibial,1.980200068,0.199738085,0.493094267,0.016498996,0.089561704,4.330868884,0.387879995,0.84386682,1.136333248,NA,NA,NoEntrez
AC002055.4,ENSG00000184319,NA,NA,Artery Tibial,4.091547622,0.122908315,0.388553869,0.123942145,0.175767671,9.892687982,1.738814729,0.84386682,3.247680801,NA,NA,NoEntrez
AC002066.1,ENSG00000237813,NA,NA,Artery Tibial,3.514043447,0.109464452,0.367848622,0.102285876,0.29969858,1.710967965,0.51277467,0.84386682,2.670176626,NA,NA,NoEntrez
AC002117.1,ENSG00000224505,NA,NA,Artery Tibial,2.620160897,0.174505298,0.461847913,0.043372168,0.243018502,3.156261007,0.767029822,0.84386682,1.776294077,NA,NA,NoEntrez
AC002398.13,ENSG00000267049,NA,NA,Artery Tibial,0.420241796,0.152599362,0.43379629,0.070227627,0.184237375,7.640687796,1.407700262,0.84386682,5.859560283,NA,NA,NoEntrez
AC002456.2,ENSG00000223969,NA,NA,Artery Tibial,2.959569676,0.942740942,0.979729771,0.016978586,0.143830935,2.821952801,0.405884109,0.84386682,2.115702856,NA,NA,NoEntrez
AC002467.7,ENSG00000241764,NA,NA,Artery Tibial,1.439179158,0.538299158,0.791260073,0.039781542,0.21348486,3.004824361,0.641484508,0.84386682,0.595312338,NA,NA,NoEntrez
AC003090.1,ENSG00000223561,646588,LOC646588,Artery Tibial,2.195964592,0.90312604,0.966348585,0.048806512,0.234415276,3.942455012,0.92417168,0.84386682,1.352097772,uncharacterized LOC646588,lincRNA,"lincRNA,miRNA"
AC004257.3,ENSG00000270143,NA,NA,Artery Tibial,4.5076276,0.421672618,0.707861123,0.005404081,0.038338747,16.94719627,0.649734271,0.84386682,3.66376078,NA,NA,NoEntrez
AC004381.6,ENSG00000005189,81691,LOC81691,Artery Tibial,2.061502731,0.186532997,0.476448405,0.127520829,0.182579658,2.132763751,0.389399276,0.84386682,1.217635911,exonuclease NEF-sp,protein_coding,protein_coding
AC004447.2,ENSG00000269131,NA,NA,Artery Tibial,4.19568645,0.475094844,0.747132589,0.048491851,0.146020907,36.24653515,5.292751937,0.84386682,3.35181963,NA,NA,NoEntrez
AC004453.8,ENSG00000146677,NA,NA,Artery Tibial,0.978423062,0.701882115,0.880029747,0.023939906,0.31762188,10.05718502,3.194382015,0.84386682,0.134556241,NA,NA,NoEntrez
AC004463.6,ENSG00000260924,NA,NA,Artery Tibial,4.616234782,0.871909461,0.955339053,0.004295402,0.044180279,2.275898228,0.100549818,0.84386682,3.772367961,NA,NA,NoEntrez
AC004466.1,ENSG00000268069,NA,NA,Artery Tibial,0.046177189,0.894787951,0.963940073,0.021090151,0.108869974,13.4364567,1.462826694,0.84386682,5.485495676,NA,NA,NoEntrez
